,sim,szn,terr,data_avail,rank,rank_stat
268,era5,MAY,11,62.0,4.0,4.13
269,era5,MAY,12,62.0,4.0,9.56
270,era5,MAY,13,124.0,4.0,2.63
271,era5,MAY,14,155.0,3.0,2.25
272,era5,MAY,16,31.0,4.0,2.48
273,era5,NOV,1,780.0,3.0,1.77
274,era5,NOV,2,150.0,2.0,0.695
275,era5,NOV,3,90.0,1.0,0.481
276,era5,NOV,4,0.0,,
277,era5,NOV,5,30.0,3.0,0.0953
278,era5,NOV,6,0.0,,
279,era5,NOV,7,30.0,4.0,1.94
280,era5,NOV,10,60.0,2.0,0.151
281,era5,NOV,11,30.0,2.0,0.08
282,era5,NOV,12,30.0,3.0,2.74
283,era5,NOV,13,60.0,3.0,1.7
284,era5,NOV,14,150.0,4.0,1.05
285,era5,NOV,16,30.0,1.0,0.113
286,era5,OCT,1,806.0,2.0,0.504
287,era5,OCT,2,155.0,3.0,0.367
288,era5,OCT,3,93.0,4.0,0.533
289,era5,OCT,4,0.0,,
290,era5,OCT,5,31.0,2.0,0.0733
291,era5,OCT,6,0.0,,
292,era5,OCT,7,31.0,2.0,1.01
293,era5,OCT,10,62.0,1.0,0.149
294,era5,OCT,11,31.0,3.0,0.131
295,era5,OCT,12,31.0,4.0,0.271
296,era5,OCT,13,62.0,4.0,0.78
297,era5,OCT,14,155.0,2.0,0.251
298,era5,OCT,16,31.0,1.0,0.247
299,era5,SEP,1,957.0,2.0,2.13
300,era5,SEP,2,205.0,1.0,1.85
301,era5,SEP,3,124.0,3.0,1.2
302,era5,SEP,4,0.0,,
303,era5,SEP,5,40.0,2.0,1.24
304,era5,SEP,6,0.0,,
305,era5,SEP,7,50.0,1.0,0.469
306,era5,SEP,10,80.0,1.0,0.457
307,era5,SEP,11,41.0,4.0,1.4
308,era5,SEP,12,42.0,3.0,2.14
309,era5,SEP,13,83.0,4.0,1.21
310,era5,SEP,14,160.0,3.0,0.937
311,era5,SEP,16,41.0,2.0,1.24
312,jra55,APR,1,1200.0,2.0,2.18
313,jra55,APR,2,300.0,2.0,2.07
314,jra55,APR,3,180.0,1.0,0.776
315,jra55,APR,4,30.0,3.0,6.29
316,jra55,APR,5,30.0,3.0,5.83
317,jra55,APR,6,0.0,,
318,jra55,APR,7,90.0,2.0,0.821
319,jra55,APR,10,120.0,3.0,0.945
320,jra55,APR,11,60.0,2.0,1.25
321,jra55,APR,12,60.0,4.0,11.1
322,jra55,APR,13,120.0,2.0,2.35
323,jra55,APR,14,150.0,2.0,3.61
324,jra55,APR,16,30.0,1.0,0.564
325,jra55,AUG,1,1335.0,1.0,4.14
326,jra55,AUG,2,310.0,2.0,4.09
327,jra55,AUG,3,186.0,4.0,2.73
328,jra55,AUG,4,0.0,,
329,jra55,AUG,5,62.0,4.0,3.45
330,jra55,AUG,6,0.0,,
331,jra55,AUG,7,93.0,1.0,3.28
332,jra55,AUG,10,124.0,4.0,2.06
333,jra55,AUG,11,62.0,1.0,0.904
334,jra55,AUG,12,62.0,1.0,3.7
335,jra55,AUG,13,124.0,1.0,1.36
336,jra55,AUG,14,187.0,4.0,3.78
337,jra55,AUG,16,62.0,2.0,1.09
338,jra55,DEC,1,806.0,1.0,2.87
339,jra55,DEC,2,155.0,2.0,2.29
340,jra55,DEC,3,93.0,2.0,1.36
341,jra55,DEC,4,0.0,,
342,jra55,DEC,5,31.0,3.0,0.128
343,jra55,DEC,6,0.0,,
344,jra55,DEC,7,31.0,1.0,1.6
345,jra55,DEC,10,62.0,4.0,1.14
346,jra55,DEC,11,31.0,3.0,1.74
347,jra55,DEC,12,31.0,4.0,10.5
348,jra55,DEC,13,62.0,1.0,1.71
349,jra55,DEC,14,155.0,2.0,3.04
350,jra55,DEC,16,31.0,4.0,1.07
351,jra55,FEB,1,1165.0,2.0,2.74
352,jra55,FEB,2,285.0,3.0,6.02
353,jra55,FEB,3,171.0,2.0,2.19
354,jra55,FEB,4,29.0,,
355,jra55,FEB,5,28.0,,
356,jra55,FEB,6,0.0,,
357,jra55,FEB,7,86.0,4.0,1.93
358,jra55,FEB,10,114.0,3.0,1.11
359,jra55,FEB,11,57.0,2.0,3.1
360,jra55,FEB,12,57.0,4.0,15.3
361,jra55,FEB,13,114.0,1.0,2.0
362,jra55,FEB,14,141.0,2.0,3.18
363,jra55,FEB,16,28.0,,
364,jra55,JAN,1,1256.0,2.0,3.25
365,jra55,JAN,2,305.0,3.0,6.37
366,jra55,JAN,3,183.0,3.0,3.43
367,jra55,JAN,4,30.0,4.0,11.3
368,jra55,JAN,5,31.0,4.0,1.01
369,jra55,JAN,6,0.0,,
370,jra55,JAN,7,91.0,3.0,1.52
371,jra55,JAN,10,122.0,3.0,1.26
372,jra55,JAN,11,61.0,2.0,2.34
373,jra55,JAN,12,61.0,4.0,15.0
374,jra55,JAN,13,122.0,2.0,1.31
375,jra55,JAN,14,155.0,2.0,5.83
376,jra55,JAN,16,31.0,3.0,0.652
377,jra55,JUL,1,1312.0,1.0,4.69
378,jra55,JUL,2,290.0,1.0,4.79
379,jra55,JUL,3,186.0,1.0,2.82
380,jra55,JUL,4,0.0,,
381,jra55,JUL,5,49.0,4.0,2.4
382,jra55,JUL,6,0.0,,
383,jra55,JUL,7,93.0,2.0,6.57
384,jra55,JUL,10,124.0,3.0,1.64
385,jra55,JUL,11,62.0,1.0,1.65
386,jra55,JUL,12,62.0,1.0,5.64
387,jra55,JUL,13,124.0,2.0,1.32
388,jra55,JUL,14,183.0,4.0,2.26
389,jra55,JUL,16,42.0,1.0,0.976
390,jra55,JUN,1,1200.0,1.0,2.93
391,jra55,JUN,2,270.0,1.0,1.91
392,jra55,JUN,3,180.0,1.0,1.49
393,jra55,JUN,4,0.0,,
394,jra55,JUN,5,30.0,4.0,0.776
395,jra55,JUN,6,0.0,,
396,jra55,JUN,7,90.0,1.0,2.52
397,jra55,JUN,10,120.0,3.0,0.921
398,jra55,JUN,11,60.0,1.0,0.351
399,jra55,JUN,12,60.0,3.0,3.82
400,jra55,JUN,13,120.0,2.0,1.04
401,jra55,JUN,14,150.0,2.0,0.723
402,jra55,JUN,16,30.0,1.0,0.917
403,jra55,MAR,1,1267.0,2.0,2.9
404,jra55,MAR,2,310.0,3.0,3.41
405,jra55,MAR,3,186.0,2.0,1.68
406,jra55,MAR,4,30.0,4.0,8.51
407,jra55,MAR,5,31.0,3.0,4.66
408,jra55,MAR,6,0.0,,
409,jra55,MAR,7,93.0,2.0,1.08
410,jra55,MAR,10,124.0,2.0,1.13
411,jra55,MAR,11,62.0,3.0,3.14
412,jra55,MAR,12,62.0,4.0,14.1
413,jra55,MAR,13,124.0,1.0,2.32
414,jra55,MAR,14,155.0,2.0,4.1
415,jra55,MAR,16,31.0,1.0,0.142
416,jra55,MAY,1,1240.0,1.0,1.17
417,jra55,MAY,2,306.0,2.0,1.22
418,jra55,MAY,3,186.0,1.0,1.75
419,jra55,MAY,4,15.0,,
420,jra55,MAY,5,31.0,3.0,3.81
421,jra55,MAY,6,0.0,,
422,jra55,MAY,7,93.0,1.0,0.579
423,jra55,MAY,10,124.0,2.0,0.644
424,jra55,MAY,11,62.0,1.0,0.599
425,jra55,MAY,12,62.0,2.0,7.81
426,jra55,MAY,13,124.0,2.0,1.57
427,jra55,MAY,14,155.0,1.0,0.989
428,jra55,MAY,16,31.0,1.0,0.287
429,jra55,NOV,1,780.0,4.0,1.94
430,jra55,NOV,2,150.0,4.0,1.04
431,jra55,NOV,3,90.0,4.0,1.32
432,jra55,NOV,4,0.0,,
433,jra55,NOV,5,30.0,2.0,0.095
434,jra55,NOV,6,0.0,,
435,jra55,NOV,7,30.0,1.0,0.709
436,jra55,NOV,10,60.0,4.0,0.479
437,jra55,NOV,11,30.0,4.0,0.758
438,jra55,NOV,12,30.0,4.0,3.93
439,jra55,NOV,13,60.0,1.0,1.22
440,jra55,NOV,14,150.0,2.0,0.436
441,jra55,NOV,16,30.0,2.0,0.338
442,jra55,OCT,1,806.0,1.0,0.424
443,jra55,OCT,2,155.0,1.0,0.353
444,jra55,OCT,3,93.0,3.0,0.51
445,jra55,OCT,4,0.0,,
