time,sitename,obs,terr
2015-11-11,ROCKT1,-6.6075177,3
2015-11-11,ROCKT2,-5.7835407,3
2015-11-11,ROCKT3,-6.12266,3
2015-11-12,ROCKT1,-8.2721195,3
2015-11-12,ROCKT2,-6.981588,3
2015-11-12,ROCKT3,-6.4981937,3
2015-11-13,ROCKT1,-8.462069,3
2015-11-13,ROCKT2,-7.340163,3
2015-11-13,ROCKT3,-6.871453,3
2015-11-14,ROCKT1,-8.862663,3
2015-11-14,ROCKT2,-7.3785105,3
2015-11-14,ROCKT3,-6.8973374,3
2015-11-15,ROCKT1,-14.080975,3
2015-11-15,ROCKT2,-11.212865,3
2015-11-15,ROCKT3,-9.344402,3
2015-11-16,ROCKT1,-16.194715,3
2015-11-16,ROCKT2,-13.008327,3
2015-11-16,ROCKT3,-10.610316,3
2015-11-17,ROCKT1,-14.18505,3
2015-11-17,ROCKT2,-11.715731,3
2015-11-17,ROCKT3,-10.608508,3
2015-11-18,ROCKT1,-15.7644205,3
2015-11-18,ROCKT2,-12.185552,3
2015-11-18,ROCKT3,-11.817458,3
2015-11-19,ROCKT1,-15.001054,3
2015-11-19,ROCKT2,-11.227073,3
2015-11-19,ROCKT3,-11.535565,3
2015-11-20,ROCKT1,-17.988836,3
2015-11-20,ROCKT2,-12.757489,3
2015-11-20,ROCKT3,-13.523044,3
2015-11-21,ROCKT1,-16.00702,3
2015-11-21,ROCKT2,-11.576713,3
2015-11-21,ROCKT3,-12.563363,3
2015-11-22,ROCKT1,-13.926393,3
2015-11-22,ROCKT2,-10.144849,3
2015-11-22,ROCKT3,-11.0655,3
2015-11-23,ROCKT1,-18.21179,3
2015-11-23,ROCKT2,-11.230522,3
2015-11-23,ROCKT3,-12.882269,3
2015-11-24,ROCKT1,-19.533808,3
2015-11-24,ROCKT2,-12.113304,3
2015-11-24,ROCKT3,-14.010761,3
2015-11-25,ROCKT1,-18.296137,3
2015-11-25,ROCKT2,-12.067884,3
2015-11-25,ROCKT3,-13.808423,3
2015-11-26,ROCKT1,-15.206825,3
2015-11-26,ROCKT2,-10.553966,3
2015-11-26,ROCKT3,-12.106654,3
2015-11-27,ROCKT1,-14.623295,3
2015-11-27,ROCKT2,-10.518126,3
2015-11-27,ROCKT3,-10.900512,3
2015-11-28,ROCKT1,-13.282859,3
2015-11-28,ROCKT2,-9.487696,3
2015-11-28,ROCKT3,-10.212161,3
2015-11-29,ROCKT1,-12.4465885,3
2015-11-29,ROCKT2,-8.97612,3
