,sim,szn,terr,data_avail,rank,rank_stat
251,era5,MAR,5,31.0,1.0,2.85
252,era5,MAR,6,0.0,,
253,era5,MAR,7,93.0,3.0,2.23
254,era5,MAR,10,124.0,4.0,1.66
255,era5,MAR,11,62.0,4.0,6.38
256,era5,MAR,12,62.0,3.0,12.9
257,era5,MAR,13,124.0,4.0,3.77
258,era5,MAR,14,155.0,1.0,2.49
259,era5,MAR,16,31.0,3.0,3.01
260,era5,MAY,1,1240.0,4.0,3.52
261,era5,MAY,2,306.0,4.0,3.12
262,era5,MAY,3,186.0,4.0,4.91
263,era5,MAY,4,15.0,,
264,era5,MAY,5,31.0,1.0,1.2
265,era5,MAY,6,0.0,,
266,era5,MAY,7,93.0,4.0,2.31
267,era5,MAY,10,124.0,4.0,0.811
268,era5,MAY,11,62.0,4.0,3.81
269,era5,MAY,12,62.0,4.0,9.91
270,era5,MAY,13,124.0,4.0,2.95
271,era5,MAY,14,155.0,3.0,2.25
272,era5,MAY,16,31.0,3.0,2.54
273,era5,NOV,1,780.0,4.0,1.89
274,era5,NOV,2,150.0,1.0,0.682
275,era5,NOV,3,90.0,1.0,0.503
276,era5,NOV,4,0.0,,
277,era5,NOV,5,30.0,3.0,0.0954
278,era5,NOV,6,0.0,,
279,era5,NOV,7,30.0,4.0,1.88
280,era5,NOV,10,60.0,2.0,0.124
281,era5,NOV,11,30.0,2.0,0.0857
282,era5,NOV,12,30.0,1.0,2.17
283,era5,NOV,13,60.0,3.0,1.59
284,era5,NOV,14,150.0,4.0,0.819
285,era5,NOV,16,30.0,1.0,0.13
286,era5,OCT,1,806.0,2.0,0.468
287,era5,OCT,2,155.0,2.0,0.413
288,era5,OCT,3,93.0,2.0,0.491
289,era5,OCT,4,0.0,,
290,era5,OCT,5,31.0,2.0,0.0862
291,era5,OCT,6,0.0,,
292,era5,OCT,7,31.0,3.0,1.04
293,era5,OCT,10,62.0,1.0,0.118
294,era5,OCT,11,31.0,3.0,0.117
295,era5,OCT,12,31.0,4.0,0.283
296,era5,OCT,13,62.0,4.0,0.868
297,era5,OCT,14,155.0,2.0,0.252
298,era5,OCT,16,31.0,2.0,0.354
299,era5,SEP,1,957.0,2.0,2.11
300,era5,SEP,2,205.0,2.0,1.99
301,era5,SEP,3,124.0,4.0,1.25
302,era5,SEP,4,0.0,,
303,era5,SEP,5,40.0,2.0,0.757
304,era5,SEP,6,0.0,,
305,era5,SEP,7,50.0,2.0,0.492
306,era5,SEP,10,80.0,1.0,0.468
307,era5,SEP,11,41.0,4.0,1.52
308,era5,SEP,12,42.0,4.0,2.32
309,era5,SEP,13,83.0,4.0,1.22
310,era5,SEP,14,160.0,3.0,1.03
311,era5,SEP,16,41.0,2.0,1.3
312,jra55,APR,1,1200.0,1.0,2.14
313,jra55,APR,2,300.0,2.0,2.05
314,jra55,APR,3,180.0,2.0,0.78
315,jra55,APR,4,30.0,3.0,6.27
316,jra55,APR,5,30.0,3.0,5.78
317,jra55,APR,6,0.0,,
318,jra55,APR,7,90.0,2.0,0.817
319,jra55,APR,10,120.0,2.0,0.884
320,jra55,APR,11,60.0,1.0,1.06
321,jra55,APR,12,60.0,4.0,11.0
322,jra55,APR,13,120.0,2.0,2.32
323,jra55,APR,14,150.0,2.0,3.42
324,jra55,APR,16,30.0,1.0,0.528
325,jra55,AUG,1,1335.0,1.0,4.09
326,jra55,AUG,2,310.0,1.0,3.76
327,jra55,AUG,3,186.0,4.0,2.76
328,jra55,AUG,4,0.0,,
329,jra55,AUG,5,62.0,4.0,3.86
330,jra55,AUG,6,0.0,,
331,jra55,AUG,7,93.0,1.0,4.24
332,jra55,AUG,10,124.0,4.0,2.13
333,jra55,AUG,11,62.0,1.0,0.656
334,jra55,AUG,12,62.0,1.0,3.77
335,jra55,AUG,13,124.0,1.0,1.38
336,jra55,AUG,14,187.0,4.0,3.77
337,jra55,AUG,16,62.0,2.0,1.24
338,jra55,DEC,1,806.0,1.0,2.81
339,jra55,DEC,2,155.0,2.0,2.36
340,jra55,DEC,3,93.0,2.0,1.66
341,jra55,DEC,4,0.0,,
342,jra55,DEC,5,31.0,3.0,0.159
343,jra55,DEC,6,0.0,,
344,jra55,DEC,7,31.0,1.0,1.84
345,jra55,DEC,10,62.0,4.0,1.15
346,jra55,DEC,11,31.0,3.0,1.64
347,jra55,DEC,12,31.0,4.0,9.22
348,jra55,DEC,13,62.0,1.0,1.64
349,jra55,DEC,14,155.0,1.0,2.93
350,jra55,DEC,16,31.0,4.0,0.999
351,jra55,FEB,1,1165.0,2.0,2.83
352,jra55,FEB,2,285.0,3.0,6.37
353,jra55,FEB,3,171.0,3.0,2.18
354,jra55,FEB,4,29.0,,
355,jra55,FEB,5,28.0,,
356,jra55,FEB,6,0.0,,
357,jra55,FEB,7,86.0,4.0,1.89
358,jra55,FEB,10,114.0,3.0,1.08
359,jra55,FEB,11,57.0,2.0,3.31
360,jra55,FEB,12,57.0,4.0,15.5
361,jra55,FEB,13,114.0,1.0,2.12
362,jra55,FEB,14,141.0,2.0,3.96
363,jra55,FEB,16,28.0,,
364,jra55,JAN,1,1256.0,2.0,3.21
365,jra55,JAN,2,305.0,3.0,6.11
366,jra55,JAN,3,183.0,3.0,3.73
367,jra55,JAN,4,30.0,4.0,11.3
368,jra55,JAN,5,31.0,4.0,1.01
369,jra55,JAN,6,0.0,,
370,jra55,JAN,7,91.0,3.0,1.55
371,jra55,JAN,10,122.0,3.0,1.27
372,jra55,JAN,11,61.0,2.0,2.69
373,jra55,JAN,12,61.0,4.0,14.7
374,jra55,JAN,13,122.0,2.0,1.22
375,jra55,JAN,14,155.0,2.0,5.95
376,jra55,JAN,16,31.0,3.0,0.589
377,jra55,JUL,1,1312.0,1.0,4.8
378,jra55,JUL,2,290.0,1.0,4.45
379,jra55,JUL,3,186.0,2.0,2.9
380,jra55,JUL,4,0.0,,
381,jra55,JUL,5,49.0,4.0,2.38
382,jra55,JUL,6,0.0,,
383,jra55,JUL,7,93.0,1.0,5.67
384,jra55,JUL,10,124.0,2.0,1.55
385,jra55,JUL,11,62.0,1.0,1.53
386,jra55,JUL,12,62.0,1.0,5.54
387,jra55,JUL,13,124.0,1.0,1.4
388,jra55,JUL,14,183.0,4.0,2.06
389,jra55,JUL,16,42.0,1.0,1.04
390,jra55,JUN,1,1200.0,1.0,2.85
391,jra55,JUN,2,270.0,1.0,2.08
392,jra55,JUN,3,180.0,1.0,1.43
393,jra55,JUN,4,0.0,,
394,jra55,JUN,5,30.0,4.0,0.76
395,jra55,JUN,6,0.0,,
396,jra55,JUN,7,90.0,1.0,2.93
397,jra55,JUN,10,120.0,3.0,0.714
398,jra55,JUN,11,60.0,1.0,0.366
399,jra55,JUN,12,60.0,1.0,3.68
400,jra55,JUN,13,120.0,2.0,0.918
401,jra55,JUN,14,150.0,2.0,0.629
402,jra55,JUN,16,30.0,1.0,0.661
403,jra55,MAR,1,1267.0,2.0,2.7
404,jra55,MAR,2,310.0,3.0,3.09
405,jra55,MAR,3,186.0,2.0,1.64
406,jra55,MAR,4,30.0,4.0,8.64
407,jra55,MAR,5,31.0,3.0,4.73
408,jra55,MAR,6,0.0,,
409,jra55,MAR,7,93.0,2.0,1.04
410,jra55,MAR,10,124.0,3.0,1.11
411,jra55,MAR,11,62.0,2.0,2.33
412,jra55,MAR,12,62.0,4.0,13.5
413,jra55,MAR,13,124.0,2.0,2.54
414,jra55,MAR,14,155.0,2.0,4.39
415,jra55,MAR,16,31.0,1.0,0.115
416,jra55,MAY,1,1240.0,1.0,1.22
417,jra55,MAY,2,306.0,1.0,1.19
418,jra55,MAY,3,186.0,1.0,1.88
419,jra55,MAY,4,15.0,,
420,jra55,MAY,5,31.0,3.0,4.04
421,jra55,MAY,6,0.0,,
422,jra55,MAY,7,93.0,1.0,0.52
423,jra55,MAY,10,124.0,2.0,0.708
424,jra55,MAY,11,62.0,1.0,0.48
425,jra55,MAY,12,62.0,2.0,7.71
426,jra55,MAY,13,124.0,2.0,1.32
427,jra55,MAY,14,155.0,1.0,1.12
428,jra55,MAY,16,31.0,1.0,0.294
429,jra55,NOV,1,780.0,3.0,1.88
430,jra55,NOV,2,150.0,4.0,1.09
