,sim,szn,terr,data_avail,rank,rank_stat
185,ens,SEP,10,80.0,2.0,0.515
186,ens,SEP,11,191.0,2.0,0.539
187,ens,SEP,12,73.0,2.0,0.511
188,ens,SEP,13,83.0,2.0,0.515
189,ens,SEP,14,160.0,2.0,0.502
190,ens,SEP,15,270.0,2.0,0.501
191,ens,SEP,16,41.0,3.0,0.5
192,era5,APR,1,630.0,1.0,0.484
193,era5,APR,2,390.0,1.0,0.489
194,era5,APR,3,240.0,2.0,0.465
195,era5,APR,4,150.0,4.0,0.5
196,era5,APR,5,180.0,4.0,0.5
197,era5,APR,6,180.0,4.0,0.512
198,era5,APR,7,180.0,3.0,0.509
199,era5,APR,8,300.0,1.0,0.461
200,era5,APR,9,180.0,4.0,0.5
201,era5,APR,10,120.0,1.0,0.494
202,era5,APR,11,210.0,1.0,0.488
203,era5,APR,12,120.0,4.0,0.5
204,era5,APR,13,120.0,3.0,0.503
205,era5,APR,14,150.0,1.0,0.462
206,era5,APR,15,270.0,2.0,0.478
207,era5,APR,16,30.0,4.0,0.5
208,era5,AUG,1,627.0,4.0,0.493
209,era5,AUG,2,404.0,4.0,0.504
210,era5,AUG,3,279.0,4.0,0.502
211,era5,AUG,4,155.0,3.0,0.499
212,era5,AUG,5,249.0,4.0,0.5
213,era5,AUG,6,124.0,1.0,0.444
214,era5,AUG,7,212.0,2.0,0.46
215,era5,AUG,8,303.0,2.0,0.502
216,era5,AUG,9,182.0,1.0,0.464
217,era5,AUG,10,124.0,3.0,0.482
218,era5,AUG,11,214.0,4.0,0.525
219,era5,AUG,12,93.0,4.0,0.488
220,era5,AUG,13,124.0,4.0,0.524
221,era5,AUG,14,187.0,1.0,0.438
222,era5,AUG,15,280.0,2.0,0.493
223,era5,AUG,16,62.0,1.0,0.471
224,era5,DEC,1,341.0,4.0,0.503
225,era5,DEC,2,279.0,2.0,0.494
226,era5,DEC,3,155.0,2.0,0.477
227,era5,DEC,4,93.0,2.0,0.501
228,era5,DEC,5,186.0,4.0,0.52
229,era5,DEC,6,93.0,3.0,0.505
230,era5,DEC,7,124.0,4.0,0.507
231,era5,DEC,8,310.0,1.0,0.501
232,era5,DEC,9,186.0,3.0,0.5
233,era5,DEC,10,62.0,4.0,0.517
234,era5,DEC,11,186.0,3.0,0.502
235,era5,DEC,12,62.0,4.0,0.5
236,era5,DEC,13,62.0,2.0,0.507
237,era5,DEC,14,155.0,2.0,0.486
238,era5,DEC,15,279.0,2.0,0.481
239,era5,DEC,16,31.0,1.0,0.467
240,era5,FEB,1,599.0,4.0,0.501
241,era5,FEB,2,369.0,4.0,0.501
242,era5,FEB,3,227.0,1.0,0.447
243,era5,FEB,4,142.0,4.0,0.5
244,era5,FEB,5,169.0,3.0,0.509
245,era5,FEB,6,171.0,1.0,0.444
246,era5,FEB,7,170.0,3.0,0.497
247,era5,FEB,8,282.0,2.0,0.486
248,era5,FEB,9,169.0,4.0,0.5
249,era5,FEB,10,114.0,4.0,0.504
250,era5,FEB,11,198.0,3.0,0.499
251,era5,FEB,12,114.0,4.0,0.5
252,era5,FEB,13,114.0,1.0,0.464
253,era5,FEB,14,141.0,3.0,0.503
254,era5,FEB,15,254.0,2.0,0.492
255,era5,FEB,16,28.0,,
256,era5,JAN,1,641.0,4.0,0.503
257,era5,JAN,2,399.0,4.0,0.504
258,era5,JAN,3,245.0,3.0,0.5
259,era5,JAN,4,153.0,4.0,0.5
260,era5,JAN,5,186.0,2.0,0.499
261,era5,JAN,6,183.0,4.0,0.512
262,era5,JAN,7,184.0,4.0,0.516
263,era5,JAN,8,310.0,2.0,0.496
264,era5,JAN,9,186.0,4.0,0.5
265,era5,JAN,10,122.0,4.0,0.508
266,era5,JAN,11,216.0,4.0,0.504
267,era5,JAN,12,122.0,4.0,0.5
268,era5,JAN,13,122.0,4.0,0.5
269,era5,JAN,14,155.0,3.0,0.504
