,stat,sim,szn,terr,data_avail,rank,rank_stat
189,MAE,merra2,AUG,5,375.0,4.0,10.1
190,MAE,merra2,DEC,1,310.0,4.0,3.8
191,MAE,merra2,DEC,2,124.0,2.0,2.15
192,MAE,merra2,DEC,3,0.0,,
193,MAE,merra2,DEC,4,744.0,4.0,3.63
194,MAE,merra2,DEC,5,372.0,4.0,4.83
195,MAE,merra2,FEB,1,282.0,4.0,4.57
196,MAE,merra2,FEB,2,113.0,1.0,1.42
197,MAE,merra2,FEB,3,0.0,,
198,MAE,merra2,FEB,4,678.0,4.0,8.31
199,MAE,merra2,FEB,5,339.0,4.0,7.48
200,MAE,merra2,JAN,1,310.0,4.0,5.15
201,MAE,merra2,JAN,2,124.0,2.0,2.4
202,MAE,merra2,JAN,3,0.0,,
203,MAE,merra2,JAN,4,744.0,4.0,6.31
204,MAE,merra2,JAN,5,372.0,4.0,6.6
205,MAE,merra2,JUL,1,310.0,1.0,5.12
206,MAE,merra2,JUL,2,139.0,4.0,9.02
207,MAE,merra2,JUL,3,0.0,,
208,MAE,merra2,JUL,4,840.0,4.0,8.98
209,MAE,merra2,JUL,5,426.0,4.0,10.5
210,MAE,merra2,JUN,1,300.0,4.0,5.2
211,MAE,merra2,JUN,2,120.0,4.0,4.0
212,MAE,merra2,JUN,3,0.0,,
213,MAE,merra2,JUN,4,720.0,4.0,4.49
214,MAE,merra2,JUN,5,360.0,4.0,6.61
215,MAE,merra2,MAR,1,310.0,4.0,4.6
216,MAE,merra2,MAR,2,124.0,1.0,1.25
217,MAE,merra2,MAR,3,0.0,,
218,MAE,merra2,MAR,4,744.0,4.0,7.88
219,MAE,merra2,MAR,5,372.0,4.0,7.03
220,MAE,merra2,MAY,1,310.0,4.0,3.31
221,MAE,merra2,MAY,2,124.0,3.0,2.06
222,MAE,merra2,MAY,3,0.0,,
223,MAE,merra2,MAY,4,744.0,4.0,3.38
224,MAE,merra2,MAY,5,372.0,3.0,2.77
225,MAE,merra2,NOV,1,300.0,1.0,2.36
226,MAE,merra2,NOV,2,120.0,1.0,0.925
227,MAE,merra2,NOV,3,0.0,,
228,MAE,merra2,NOV,4,720.0,3.0,1.72
229,MAE,merra2,NOV,5,360.0,3.0,2.16
230,MAE,merra2,OCT,1,310.0,4.0,1.72
231,MAE,merra2,OCT,2,124.0,3.0,0.975
232,MAE,merra2,OCT,3,0.0,,
233,MAE,merra2,OCT,4,744.0,2.0,1.07
234,MAE,merra2,OCT,5,372.0,1.0,0.85
235,MAE,merra2,SEP,1,300.0,2.0,2.3
236,MAE,merra2,SEP,2,120.0,4.0,3.74
237,MAE,merra2,SEP,3,0.0,,
238,MAE,merra2,SEP,4,720.0,4.0,3.86
239,MAE,merra2,SEP,5,360.0,4.0,4.23
,stat,sim,szn,terr,data_avail,rank,rank_stat
0,BIAS,ens,APR,1,300.0,2.0,-1.27
1,BIAS,ens,APR,2,120.0,3.0,0.197
2,BIAS,ens,APR,3,0.0,,
3,BIAS,ens,APR,4,720.0,3.0,2.01
4,BIAS,ens,APR,5,360.0,3.0,0.997
5,BIAS,ens,AUG,1,307.0,2.0,2.81
6,BIAS,ens,AUG,2,125.0,2.0,-3.14
7,BIAS,ens,AUG,3,0.0,,
8,BIAS,ens,AUG,4,750.0,2.0,-3.88
9,BIAS,ens,AUG,5,375.0,2.0,-4.67
10,BIAS,ens,DEC,1,310.0,2.0,-3.27
11,BIAS,ens,DEC,2,124.0,4.0,-0.414
12,BIAS,ens,DEC,3,0.0,,
13,BIAS,ens,DEC,4,744.0,3.0,0.714
14,BIAS,ens,DEC,5,372.0,3.0,1.96
15,BIAS,ens,FEB,1,282.0,2.0,-1.56
16,BIAS,ens,FEB,2,113.0,2.0,-1.93
17,BIAS,ens,FEB,3,0.0,,
18,BIAS,ens,FEB,4,678.0,3.0,2.98
19,BIAS,ens,FEB,5,339.0,3.0,2.52
20,BIAS,ens,JAN,1,310.0,2.0,-3.58
21,BIAS,ens,JAN,2,124.0,4.0,-1.25
22,BIAS,ens,JAN,3,0.0,,
23,BIAS,ens,JAN,4,744.0,3.0,2.0
